id,module,feature,legacy_evidence,api_or_bridge,react_evidence,browser_test,electron_test,status,reviewer,rationale
AGENT-008,AGENT,render targeted system notices,manyselves/gui/main_window.py:MainWindow._handle_system_notice,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
AGENT-009,AGENT,show queued message preview,manyselves/gui/main_window.py:MainWindow._handle_queue_update,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
AGENT-010,AGENT,render checkpoint and rollback affordance,manyselves/gui/main_window.py:MainWindow._handle_checkpoint,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
AGENT-011,AGENT,slash command palette and command execution,manyselves/gui/widgets/agent_panel.py:AgentPanel._on_command_palette_requested and _execute_slash_command,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
REPORT-004,REPORT,start prepared reporting run,manyselves/core/reporting/service.py:ReportingService.run and prepare_run,,frontend/src/features/reporting/ReportingWorkspace.test.tsx; frontend/src/features/reporting/reporting-store.test.ts,frontend/e2e/reporting.spec.ts,,tested,,Reporting lifecycle inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
REPORT-005,REPORT,resume blocked reporting flow,manyselves/core/reporting/service.py:ReportingService.resume,,frontend/src/features/reporting/ReportingWorkspace.test.tsx; frontend/src/features/reporting/reporting-store.test.ts,frontend/e2e/reporting.spec.ts,,tested,,Reporting lifecycle inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
REPORT-006,REPORT,resume persisted reporting run,manyselves/core/reporting/service.py:ReportingService.resume_run and validate_resume_run,,frontend/src/features/reporting/ReportingWorkspace.test.tsx; frontend/src/features/reporting/reporting-store.test.ts,frontend/e2e/reporting.spec.ts,,tested,,Reporting lifecycle inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
REPORT-007,REPORT,revise completed report workflow,manyselves/core/reporting/service.py:ReportingService.revise,,frontend/src/features/reporting/ReportingWorkspace.test.tsx; frontend/src/features/reporting/reporting-store.test.ts,frontend/e2e/reporting.spec.ts,,tested,,Reporting lifecycle inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
REPORT-008,REPORT,persist reporting run model atomically,manyselves/core/reporting/store.py:ReportingStore.write_run_model,,frontend/src/features/reporting/ReportingWorkspace.test.tsx; frontend/src/features/reporting/reporting-store.test.ts,frontend/e2e/reporting.spec.ts,,tested,,Reporting lifecycle inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
REPORT-009,REPORT,execute and restore reporting workflow checkpoints,manyselves/core/reporting/workflow.py:ReportWorkflowRunner.run and _restore_resume_state,,frontend/src/features/reporting/ReportingWorkspace.test.tsx; frontend/src/features/reporting/reporting-store.test.ts,frontend/e2e/reporting.spec.ts,,tested,,Reporting lifecycle inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
REPORT-010,REPORT,publish complete five-module report package,tests/reporting/test_delivery.py::test_delivery_publishes_complete_five_module_package_atomically,,frontend/src/features/reporting/ReportingWorkspace.test.tsx; frontend/src/features/reporting/reporting-store.test.ts,frontend/e2e/reporting.spec.ts,,tested,,Reporting delivery inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
DESKTOP-005,DESKTOP,unsupported multi-window notice and guard,manyselves/gui/main_window.py:MainWindow._on_new_window,,,,,planned,,PyQt baseline inventory; multi-window mode remains unsupported.
DESKTOP-006,DESKTOP,native menu new file new folder and project-folder switch,manyselves/gui/main_window.py:MainWindow._on_new_file _on_new_folder and _on_open_folder,,,,,planned,,PyQt baseline inventory; implementation and acceptance evidence pending.
DESKTOP-007,DESKTOP,unsupported open-file notice and guard,manyselves/gui/main_window.py:MainWindow._on_open_file,,,,,planned,,PyQt baseline inventory; open-file action remains unsupported.
RUNTIME-001,RUNTIME,desktop runtime startup,manyselves/app.py:ManyselvesApp.startup,manyselves/application/runtime_host.py:RuntimeHost.start; tests/application/test_pyqt_runtime_compatibility.py::test_desktop_startup_preserves_boolean_and_loop_manager,,,,accepted,,Foundation runtime boundary accepted; React browser and Electron evidence remains pending.
RUNTIME-002,RUNTIME,desktop runtime shutdown,manyselves/app.py:ManyselvesApp.shutdown,manyselves/application/runtime_host.py:RuntimeHost.stop; tests/application/test_pyqt_runtime_compatibility.py::test_desktop_shutdown_preserves_owned_cleanup_boundary,,,,accepted,,Foundation runtime boundary accepted; React browser and Electron evidence remains pending.
RUNTIME-003,RUNTIME,send user message equivalence,manyselves/application/backend_api.py:BackendAPIImpl.send_user_message,manyselves/application/runtime_facade.py:RuntimeFacade.send_user_message; tests/application/test_pyqt_runtime_compatibility.py::test_facade_send_matches_direct_backend_observable_message,,,,accepted,,Foundation runtime boundary accepted; React browser and Electron evidence remains pending.
RUNTIME-004,RUNTIME,interrupt current message equivalence,manyselves/application/backend_api.py:BackendAPIImpl.interrupt_current_message,manyselves/application/runtime_facade.py:RuntimeFacade.interrupt; tests/application/test_pyqt_runtime_compatibility.py::test_facade_interrupt_matches_direct_backend_target,,,,accepted,,Foundation runtime boundary accepted; React browser and Electron evidence remains pending.
RUNTIME-005,RUNTIME,rollback result equivalence,manyselves/application/backend_api.py:BackendAPIImpl.rollback_to_checkpoint,manyselves/application/runtime_facade.py:RuntimeFacade.rollback; tests/application/test_pyqt_runtime_compatibility.py::test_facade_rollback_matches_direct_backend_result,,,,accepted,,Foundation runtime boundary accepted; React browser and Electron evidence remains pending.
RUNTIME-006,RUNTIME,direct backend debug behavior,manyselves/application/backend_api.py:BackendAPIImpl.set_agent_debug_mode,manyselves/application/backend_api.py:BackendAPIImpl.set_agent_debug_mode; tests/application/test_pyqt_runtime_compatibility.py::test_direct_backend_debug_preserves_loop_manager_behavior,,,,accepted,,Foundation runtime boundary accepted; React browser and Electron evidence remains pending.
RUNTIME-007,RUNTIME,provider assignment and transactional fresh-manager replacement,manyselves/application/backend_api.py:BackendAPIImpl.switch_provider,manyselves/application/runtime_host.py:RuntimeHost.replace_loop_manager; tests/application/test_pyqt_runtime_compatibility.py::test_provider_switch_assigns_provider_and_requests_restart; tests/application/test_runtime_host.py::test_replace_loop_manager_uses_factory_and_keeps_shared_bus; tests/application/test_runtime_host.py::test_provider_commit_finishes_before_repeated_caller_cancellation; tests/application/test_runtime_host.py::test_provider_failure_recovers_before_repeated_caller_cancellation; tests/application/test_runtime_host.py::test_persisted_rollback_failure_blocks_runtime_recovery; tests/webapi/test_conversations_agents_reporting.py::test_provider_affecting_mutations_rebuild_complete_manager; tests/webapi/test_conversations_agents_reporting.py::test_settings_replacement_failure_recovers_live_runtime_with_old_config,,,,accepted,,Foundation automated runtime evidence accepts fresh-manager replacement and cancellation-definite recovery while retaining desktop compatibility; React browser and Electron evidence remains pending.
RUNTIME-008,RUNTIME,model assignment without restart request,manyselves/application/backend_api.py:BackendAPIImpl.switch_model,manyselves/application/backend_api.py:BackendAPIImpl.switch_model; tests/application/test_pyqt_runtime_compatibility.py::test_model_switch_assigns_model_without_restart_request; tests/webapi/test_conversations_agents_reporting.py::test_settings_mutations_apply_to_live_runtime_and_model_only_does_not_restart,,,,accepted,,Foundation automated runtime evidence accepts model-only manager identity preservation; React browser and Electron evidence remains pending.
API-001,API,versioned Phase 1 resource surface,manyselves/webapi/main.py:Phase 1 service composition; no legacy HTTP endpoint,frontend-contract/openapi.json; tests/webapi/test_openapi_contract.py::test_openapi_has_required_resources,,,,accepted,,Gate B accepts the versioned backend resource surface; React browser and Electron evidence remains pending.
API-002,API,deterministic secret-free OpenAPI contract,manyselves/webapi/main.py:Phase 1 service composition; no legacy HTTP endpoint,scripts/export_openapi.py; tests/webapi/test_openapi_contract.py::test_all_operations_have_unique_operation_ids; tests/webapi/test_openapi_contract.py::test_rendered_openapi_is_deterministic_and_contains_no_settings; tests/webapi/test_openapi_contract.py::test_canonical_openapi_artifact_is_current; tests/webapi/test_openapi_contract.py::test_openapi_locks_errors_security_sse_and_preview_semantics; tests/webapi/test_openapi_contract.py::test_openapi_exposes_correlated_and_sanitized_runtime_response_shapes; tests/webapi/test_lifecycle.py::test_ready_is_503_until_runtime_is_ready; tests/webapi/test_lifecycle.py::test_ready_is_503_with_quiesced_error_envelope,,,,accepted,,Gate B locks correlated tool/debug identities and sanitized runtime DTOs in the generated contract; generated React client evidence remains pending.
API-003,API,single-runtime lifecycle readiness and sanitized recoverable bootstrap,manyselves/webapi/main.py:Phase 1 service composition; no legacy HTTP endpoint,tests/webapi/test_lifecycle.py::test_lifespan_starts_and_stops_one_runtime; tests/webapi/test_lifecycle.py::test_ready_is_503_until_runtime_is_ready; tests/webapi/test_lifecycle.py::test_ready_is_200_with_exact_ready_body; tests/webapi/test_lifecycle.py::test_bootstrap_returns_one_coherent_snapshot; tests/webapi/test_lifecycle.py::test_bootstrap_sanitizes_recoverable_runtime_tool_snapshot; tests/webapi/test_lifecycle.py::test_bootstrap_sanitizes_tool_and_debug_identity_strings; tests/application/test_runtime_facade.py::test_runtime_snapshot_projects_real_queue_tool_debug_and_checkpoint_state; tests/application/test_runtime_facade.py::test_runtime_projection_keeps_concurrent_same_name_tools_by_call_id; tests/application/test_runtime_facade.py::test_runtime_projection_records_debug_error_under_emitting_agent; tests/application/test_runtime_facade.py::test_runtime_projection_evicts_oldest_tool_snapshot_at_its_capacity; tests/webapi/test_conversations_agents_reporting.py::test_failed_normal_shutdown_blocks_new_runtime_until_cleanup_finishes; tests/webapi/test_sse.py::test_startup_and_pending_cleanup_secondary_diagnostics_are_secret_safe; tests/webapi/test_sse.py::test_normal_shutdown_secondary_diagnostics_are_secret_safe,,,,accepted,,Gate B accepts the headless lifecycle and bounded sanitized recovery snapshot boundary; deployment smoke evidence remains pending.
API-004,API,deployment authentication control lease and stable errors,manyselves/webapi/main.py:Phase 1 service composition; no legacy HTTP endpoint,tests/webapi/test_security_and_control.py::test_mutation_rejects_missing_access_token; tests/webapi/test_security_and_control.py::test_second_client_receives_lease_conflict; tests/webapi/test_security_and_control.py::test_request_validation_errors_use_the_error_envelope,,,,accepted,,Gate B accepts authentication lease arbitration and structured errors; browser integration remains pending.
API-005,API,project registry and revision-safe workspace files,manyselves/webapi/main.py:Phase 1 service composition; no legacy HTTP endpoint,tests/webapi/test_projects_and_files.py::test_project_crud_and_bootstrap_never_expose_absolute_paths; tests/webapi/test_projects_and_files.py::test_file_create_read_revision_save_tree_rename_and_delete; tests/webapi/test_projects_and_files.py::test_http_rename_and_delete_reject_stale_revisions_without_side_effects,,,,accepted,,Gate B accepts project and filesystem HTTP boundaries; React workspace evidence remains pending.
API-006,API,conversation agent reporting settings operations and maintenance routes,manyselves/webapi/main.py:Phase 1 service composition; no legacy HTTP endpoint,tests/webapi/test_conversations_agents_reporting.py::test_conversation_round_trip_preserves_store_format; tests/webapi/test_conversations_agents_reporting.py::test_send_message_is_typed_idempotent_and_persisted; tests/webapi/test_conversations_agents_reporting.py::test_settings_masks_all_provider_secrets; tests/webapi/test_conversations_agents_reporting.py::test_settings_rejects_null_required_fields_and_can_clear_secret; tests/webapi/test_conversations_agents_reporting.py::test_reporting_snapshot_covers_durable_state_and_output_metadata; tests/webapi/test_conversations_agents_reporting.py::test_python_run_is_project_scoped_bounded_and_queryable; tests/webapi/test_conversations_agents_reporting.py::test_maintenance_requires_matching_opaque_token_and_exposes_state; tests/webapi/test_conversations_agents_reporting.py::test_settings_mutations_apply_to_live_runtime_and_model_only_does_not_restart; tests/webapi/test_conversations_agents_reporting.py::test_settings_apply_failure_restores_exact_persisted_config_bytes; tests/webapi/test_conversations_agents_reporting.py::test_provider_lifecycle_presets_validation_and_agent_debug_are_exposed; tests/webapi/test_conversations_agents_reporting.py::test_provider_affecting_mutations_rebuild_complete_manager; tests/webapi/test_conversations_agents_reporting.py::test_settings_replacement_failure_recovers_live_runtime_with_old_config; tests/webapi/test_conversations_agents_reporting.py::test_preset_sync_holds_mutation_ownership_until_worker_completes; tests/webapi/test_conversations_agents_reporting.py::test_preset_sync_rejects_invalid_lease_before_starting_worker; tests/webapi/test_conversations_agents_reporting.py::test_preset_sync_sanitizes_sync_error; tests/webapi/test_conversations_agents_reporting.py::test_preset_sync_cancellation_keeps_mutation_ownership_until_worker_completes; tests/webapi/test_conversations_agents_reporting.py::test_agent_debug_groups_dynamic_agent_events_and_sanitizes_error; tests/webapi/test_conversations_agents_reporting.py::test_conversation_mutations_restore_exact_store_and_live_state_after_sync_failure; tests/webapi/test_conversations_agents_reporting.py::test_conversation_compensation_restores_exact_divergent_live_session_id; tests/webapi/test_conversations_agents_reporting.py::test_delete_shared_active_session_restores_every_affected_agent_after_partial_sync; tests/webapi/test_conversations_agents_reporting.py::test_cancelled_conversation_mutation_keeps_lease_until_sync_finishes; tests/webapi/test_conversations_agents_reporting.py::test_conversation_compensation_failure_fails_runtime_closed; tests/webapi/test_conversations_agents_reporting.py::test_delete_silent_store_failure_restores_exact_store_and_live_state,,,,accepted,,Gate B accepts automated provider replacement recovery preset ownership and sanitized Agent debug behavior; React feature evidence remains pending.
SSE-001,SSE,stable correlated complete and sanitized public event mapping,manyselves/core/loops/bus.py:Legacy process-local message bus; no legacy SSE endpoint,tests/webapi/test_event_mapper.py::test_mapper_cases_cover_every_concrete_interface_message; tests/webapi/test_event_mapper.py::test_event_payload_is_json_safe_deterministic_and_secret_redacted; tests/webapi/test_event_mapper.py::test_unknown_future_message_subtype_fails_visibly; tests/webapi/test_event_mapper.py::test_tool_and_debug_payloads_publish_explicit_identity_aliases; tests/webapi/test_event_mapper.py::test_tool_identity_aliases_use_the_fail_closed_payload_sanitizer; tests/webapi/test_sse.py::test_broker_correlates_legacy_tool_call_and_result_once_at_its_boundary; tests/webapi/test_sse.py::test_broker_keeps_same_name_legacy_calls_distinct_and_fifo_correlated; tests/webapi/test_sse.py::test_broker_preserves_explicit_tool_ids_and_marks_unmatched_legacy_results_orphaned; tests/webapi/test_sse.py::test_tool_identity_capacity_evicts_globally_across_agent_and_tool_keys,frontend/src/api/event-stream.test.ts,frontend/e2e/recovery.spec.ts,,accepted,,Gate B accepts bounded tool correlation and sanitized tool/debug identity at the internal-message to public-event boundary; React event consumption remains pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
SSE-002,SSE,bounded replay cursor recovery and explicit resync,manyselves/core/loops/bus.py:Legacy process-local message bus; no legacy SSE endpoint,tests/webapi/test_event_mapper.py::test_replay_returns_only_events_strictly_after_a_present_cursor; tests/webapi/test_event_mapper.py::test_replay_requests_resync_for_unrecoverable_cursor; tests/webapi/test_sse.py::test_last_event_id_eviction_emits_one_line_resync_sse_and_headers; tests/webapi/test_sse.py::test_stream_epoch_rejects_an_old_process_cursor_without_collision; tests/webapi/test_sse.py::test_legacy_cursor_forces_exactly_one_malformed_resync,frontend/src/api/event-stream.test.ts,frontend/e2e/recovery.spec.ts,,accepted,,Gate B accepts reconnect replay and resynchronization behavior; browser reconnect evidence remains pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
SSE-003,SSE,monotonic multi-client delivery with bounded slow-client handling,manyselves/core/loops/bus.py:Legacy process-local message bus; no legacy SSE endpoint,tests/webapi/test_sse.py::test_broker_delivers_monotonic_order_to_multiple_clients_without_cross_blocking; tests/webapi/test_sse.py::test_slow_client_coalesces_only_same_message_deltas_with_explicit_range; tests/webapi/test_sse.py::test_full_client_preserves_terminal_by_replacing_same_message_delta,frontend/src/api/event-stream.test.ts,frontend/e2e/recovery.spec.ts,,accepted,,Gate B accepts bounded client queues and terminal-event preservation; browser rendering evidence remains pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
SSE-004,SSE,authenticated stream lifecycle and cancellation cleanup,manyselves/core/loops/bus.py:Legacy process-local message bus; no legacy SSE endpoint,tests/webapi/test_sse.py::test_events_endpoint_requires_bearer_authentication; tests/webapi/test_sse.py::test_sse_registers_before_response_and_cleans_up_after_stream_cancel; tests/webapi/test_sse.py::test_lifespan_closes_broker_after_conversation_and_before_bus,frontend/src/api/event-stream.test.ts,frontend/e2e/recovery.spec.ts,,accepted,,Gate B accepts authenticated SSE ownership and cleanup; deployment proxy evidence remains pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
